QD_pad,Role,ZIF_pin,Reference_carrier_bond_pad,SMP,Bias_resistor,Series_capacitor,QD_net
1,RF+DC_bias,42,21,SMP3,R3,C3,MW3
2,DC,44,17,,,,ZIF44
3,DC,40,15,,,,ZIF40
4,DC,36,13,,,,ZIF36
5,DC,32,11,,,,ZIF32
6,RF+DC_bias,46,23,SMP2,R2,C2,MW2
7,DC,28,9,,,,ZIF28
8,DC,24,7,,,,ZIF24
9,RF+DC_bias,48,19,SMP1,R1,C1,MW1
10,DC,20,5,,,,ZIF20
11,DC,16,3,,,,ZIF16
12,RF+DC_bias,4,2,SMP5,R5,C5,MW5
13,DC,12,1,,,,ZIF12
14,DC,38,22,,,,ZIF38
15,DC,34,20,,,,ZIF34
16,DC,30,18,,,,ZIF30
17,DC,26,16,,,,ZIF26
18,RF+DC_bias,2,4,SMP6,R6,C6,MW6
19,DC,22,14,,,,ZIF22
20,DC,18,12,,,,ZIF18
21,DC,14,10,,,,ZIF14
22,DC,10,8,,,,ZIF10
23,DC,6,6,,,,ZIF06
24,RF+DC_bias,8,24,SMP4,R4,C4,MW4
