x_mm,y_mm,start_layer,stop_layer,drill_mm,land_mm,net,type
15.741310,26.556452,L6,L5,.100,.250,GND,SMP_RING
16.087949,26.317184,L6,L5,.100,.250,GND,SMP_RING
16.506073,26.266414,L6,L5,.100,.250,GND,SMP_RING
16.899898,26.415774,L6,L5,.100,.250,GND,SMP_RING
17.179201,26.731041,L6,L5,.100,.250,GND,SMP_RING
17.280001,27.139999,L6,L5,.100,.250,GND,SMP_RING
17.179201,27.548957,L6,L5,.100,.250,GND,SMP_RING
16.899898,27.864224,L6,L5,.100,.250,GND,SMP_RING
16.506073,28.013584,L6,L5,.100,.250,GND,SMP_RING
16.087949,27.962814,L6,L5,.100,.250,GND,SMP_RING
15.741310,27.723546,L6,L5,.100,.250,GND,SMP_RING
15.816453,34.998690,L6,L5,.100,.250,GND,SMP_RING
15.577185,34.652052,L6,L5,.100,.250,GND,SMP_RING
15.526415,34.233927,L6,L5,.100,.250,GND,SMP_RING
15.675775,33.840103,L6,L5,.100,.250,GND,SMP_RING
15.991042,33.560799,L6,L5,.100,.250,GND,SMP_RING
16.400000,33.459999,L6,L5,.100,.250,GND,SMP_RING
16.808958,33.560799,L6,L5,.100,.250,GND,SMP_RING
17.124225,33.840103,L6,L5,.100,.250,GND,SMP_RING
17.273585,34.233927,L6,L5,.100,.250,GND,SMP_RING
17.222815,34.652052,L6,L5,.100,.250,GND,SMP_RING
16.983547,34.998690,L6,L5,.100,.250,GND,SMP_RING
15.816453,49.498689,L6,L5,.100,.250,GND,SMP_RING
15.577185,49.152051,L6,L5,.100,.250,GND,SMP_RING
15.526415,48.733926,L6,L5,.100,.250,GND,SMP_RING
15.675775,48.340101,L6,L5,.100,.250,GND,SMP_RING
15.991042,48.060798,L6,L5,.100,.250,GND,SMP_RING
16.400000,47.959998,L6,L5,.100,.250,GND,SMP_RING
16.808958,48.060798,L6,L5,.100,.250,GND,SMP_RING
17.124225,48.340101,L6,L5,.100,.250,GND,SMP_RING
17.273585,48.733926,L6,L5,.100,.250,GND,SMP_RING
17.222815,49.152051,L6,L5,.100,.250,GND,SMP_RING
16.983547,49.498689,L6,L5,.100,.250,GND,SMP_RING
2.516452,49.498689,L6,L5,.100,.250,GND,SMP_RING
2.277184,49.152051,L6,L5,.100,.250,GND,SMP_RING
2.226414,48.733926,L6,L5,.100,.250,GND,SMP_RING
2.375774,48.340101,L6,L5,.100,.250,GND,SMP_RING
2.691041,48.060798,L6,L5,.100,.250,GND,SMP_RING
3.099999,47.959998,L6,L5,.100,.250,GND,SMP_RING
3.508957,48.060798,L6,L5,.100,.250,GND,SMP_RING
3.824224,48.340101,L6,L5,.100,.250,GND,SMP_RING
3.973584,48.733926,L6,L5,.100,.250,GND,SMP_RING
3.922814,49.152051,L6,L5,.100,.250,GND,SMP_RING
3.683546,49.498689,L6,L5,.100,.250,GND,SMP_RING
3.758689,27.723546,L6,L5,.100,.250,GND,SMP_RING
3.412051,27.962814,L6,L5,.100,.250,GND,SMP_RING
2.993926,28.013584,L6,L5,.100,.250,GND,SMP_RING
2.600101,27.864224,L6,L5,.100,.250,GND,SMP_RING
2.320798,27.548957,L6,L5,.100,.250,GND,SMP_RING
2.219998,27.139999,L6,L5,.100,.250,GND,SMP_RING
2.320798,26.731041,L6,L5,.100,.250,GND,SMP_RING
2.600101,26.415774,L6,L5,.100,.250,GND,SMP_RING
2.993926,26.266414,L6,L5,.100,.250,GND,SMP_RING
3.412051,26.317184,L6,L5,.100,.250,GND,SMP_RING
3.758689,26.556452,L6,L5,.100,.250,GND,SMP_RING
2.516452,34.998690,L6,L5,.100,.250,GND,SMP_RING
2.277184,34.652052,L6,L5,.100,.250,GND,SMP_RING
2.226414,34.233927,L6,L5,.100,.250,GND,SMP_RING
2.375774,33.840103,L6,L5,.100,.250,GND,SMP_RING
2.691041,33.560799,L6,L5,.100,.250,GND,SMP_RING
3.099999,33.459999,L6,L5,.100,.250,GND,SMP_RING
3.508957,33.560799,L6,L5,.100,.250,GND,SMP_RING
3.824224,33.840103,L6,L5,.100,.250,GND,SMP_RING
3.973584,34.233927,L6,L5,.100,.250,GND,SMP_RING
3.922814,34.652052,L6,L5,.100,.250,GND,SMP_RING
3.683546,34.998690,L6,L5,.100,.250,GND,SMP_RING
11.368763,30.158324,L6,L5,.100,.250,GND,RC_PERIMETER
11.155042,30.496441,L6,L5,.100,.250,GND,RC_PERIMETER
11.154999,30.896441,L6,L5,.100,.250,GND,RC_PERIMETER
11.154999,31.296440,L6,L5,.100,.250,GND,RC_PERIMETER
11.207664,31.692957,L6,L5,.100,.250,GND,RC_PERIMETER
11.561237,31.880002,L6,L5,.100,.250,GND,RC_PERIMETER
12.521237,31.880002,L6,L5,.100,.250,GND,RC_PERIMETER
12.921237,31.880002,L6,L5,.100,.250,GND,RC_PERIMETER
13.321236,31.880000,L6,L5,.100,.250,GND,RC_PERIMETER
13.721235,31.880000,L6,L5,.100,.250,GND,RC_PERIMETER
