x_mm,y_mm,start_layer,stop_layer,drill_mm,land_mm,net,type
17.075287,27.815286,L6,L5,.100,.250,GND,SMP_RING
15.724713,27.815286,L6,L5,.100,.250,GND,SMP_RING
15.724713,26.464712,L6,L5,.100,.250,GND,SMP_RING
17.075287,26.464712,L6,L5,.100,.250,GND,SMP_RING
17.075287,35.015287,L6,L5,.100,.250,GND,SMP_RING
15.724713,35.015287,L6,L5,.100,.250,GND,SMP_RING
15.724713,33.664713,L6,L5,.100,.250,GND,SMP_RING
17.075287,33.664713,L6,L5,.100,.250,GND,SMP_RING
17.075287,49.515286,L6,L5,.100,.250,GND,SMP_RING
15.724713,49.515286,L6,L5,.100,.250,GND,SMP_RING
15.724713,48.164712,L6,L5,.100,.250,GND,SMP_RING
17.075287,48.164712,L6,L5,.100,.250,GND,SMP_RING
3.775286,49.515286,L6,L5,.100,.250,GND,SMP_RING
2.424712,49.515286,L6,L5,.100,.250,GND,SMP_RING
2.424712,48.164712,L6,L5,.100,.250,GND,SMP_RING
3.775286,48.164712,L6,L5,.100,.250,GND,SMP_RING
3.775286,27.815286,L6,L5,.100,.250,GND,SMP_RING
2.424712,27.815286,L6,L5,.100,.250,GND,SMP_RING
2.424712,26.464712,L6,L5,.100,.250,GND,SMP_RING
3.775286,26.464712,L6,L5,.100,.250,GND,SMP_RING
3.775286,35.015287,L6,L5,.100,.250,GND,SMP_RING
2.424712,35.015287,L6,L5,.100,.250,GND,SMP_RING
2.424712,33.664713,L6,L5,.100,.250,GND,SMP_RING
3.775286,33.664713,L6,L5,.100,.250,GND,SMP_RING
11.690002,38.799999,L6,L5,.100,.250,GND,RF_FENCE
11.690002,36.800000,L6,L5,.100,.250,GND,RF_FENCE
11.690002,34.799999,L6,L5,.100,.250,GND,RF_FENCE
11.720850,32.802853,L6,L5,.100,.250,GND,RF_FENCE
13.050195,31.328556,L6,L5,.100,.250,GND,RF_FENCE
12.710000,38.949998,L6,L5,.100,.250,GND,RF_FENCE
12.710000,36.950000,L6,L5,.100,.250,GND,RF_FENCE
12.710000,34.949999,L6,L5,.100,.250,GND,RF_FENCE
12.824023,32.997229,L6,L5,.100,.250,GND,RF_FENCE
14.212204,31.561568,L6,L5,.100,.250,GND,RF_FENCE
13.450001,41.640001,L6,L5,.100,.250,GND,RF_FENCE
13.450001,42.659999,L6,L5,.100,.250,GND,RF_FENCE
15.450000,42.659999,L6,L5,.100,.250,GND,RF_FENCE
10.864047,45.314705,L6,L5,.100,.250,GND,RF_FENCE
8.635954,45.314705,L6,L5,.100,.250,GND,RF_FENCE
9.590001,38.799999,L6,L5,.100,.250,GND,RF_FENCE
9.590001,36.800000,L6,L5,.100,.250,GND,RF_FENCE
8.804227,35.125477,L6,L5,.100,.250,GND,RF_FENCE
7.390013,33.711264,L6,L5,.100,.250,GND,RF_FENCE
5.975800,32.297050,L6,L5,.100,.250,GND,RF_FENCE
5.190000,30.837685,L6,L5,.100,.250,GND,RF_FENCE
10.609999,38.799999,L6,L5,.100,.250,GND,RF_FENCE
10.609999,36.800000,L6,L5,.100,.250,GND,RF_FENCE
10.098331,34.977085,L6,L5,.100,.250,GND,RF_FENCE
8.684118,33.562872,L6,L5,.100,.250,GND,RF_FENCE
7.269907,32.148658,L6,L5,.100,.250,GND,RF_FENCE
6.209998,30.837685,L6,L5,.100,.250,GND,RF_FENCE
6.050001,41.959997,L6,L5,.100,.250,GND,RF_FENCE
4.050002,41.959997,L6,L5,.100,.250,GND,RF_FENCE
6.050001,40.939999,L6,L5,.100,.250,GND,RF_FENCE
13.298663,27.321861,L6,L5,.100,.250,GND,RF_FENCE
14.946219,26.630000,L6,L5,.100,.250,GND,RF_FENCE
14.463563,27.649998,L6,L5,.100,.250,GND,RF_FENCE
15.304374,38.772343,L6,L5,.100,.250,GND,RF_FENCE
15.890001,36.985113,L6,L5,.100,.250,GND,RF_FENCE
16.426538,38.894710,L6,L5,.100,.250,GND,RF_FENCE
16.909999,37.060111,L6,L5,.100,.250,GND,RF_FENCE
11.675367,48.330000,L6,L5,.100,.250,GND,RF_FENCE
13.675365,48.330000,L6,L5,.100,.250,GND,RF_FENCE
10.728940,49.114443,L6,L5,.100,.250,GND,RF_FENCE
12.666223,49.349998,L6,L5,.100,.250,GND,RF_FENCE
14.666222,49.349998,L6,L5,.100,.250,GND,RF_FENCE
8.771064,49.114443,L6,L5,.100,.250,GND,RF_FENCE
6.833781,49.349998,L6,L5,.100,.250,GND,RF_FENCE
4.833783,49.349998,L6,L5,.100,.250,GND,RF_FENCE
7.824638,48.330000,L6,L5,.100,.250,GND,RF_FENCE
5.824639,48.330000,L6,L5,.100,.250,GND,RF_FENCE
5.036436,27.649998,L6,L5,.100,.250,GND,RF_FENCE
6.201336,27.321861,L6,L5,.100,.250,GND,RF_FENCE
4.553781,26.630000,L6,L5,.100,.250,GND,RF_FENCE
3.073461,38.194712,L6,L5,.100,.250,GND,RF_FENCE
2.590000,36.360115,L6,L5,.100,.250,GND,RF_FENCE
4.195625,38.072344,L6,L5,.100,.250,GND,RF_FENCE
3.609998,36.285114,L6,L5,.100,.250,GND,RF_FENCE
