x_mm,y_mm,start_layer,stop_layer,drill_mm,land_mm,net,type
17.075287,27.815286,L6,L5,.100,.250,GND,SMP_RING
16.739484,28.032624,L6,L5,.100,.250,GND,SMP_RING
16.344120,28.093363,L6,L5,.100,.250,GND,SMP_RING
15.958563,27.986850,L6,L5,.100,.250,GND,SMP_RING
15.650449,27.731773,L6,L5,.100,.250,GND,SMP_RING
15.610517,26.602652,L6,L5,.100,.250,GND,SMP_RING
15.899844,26.326445,L6,L5,.100,.250,GND,SMP_RING
16.276914,26.192965,L6,L5,.100,.250,GND,SMP_RING
16.675580,26.225624,L6,L5,.100,.250,GND,SMP_RING
17.025897,26.418695,L6,L5,.100,.250,GND,SMP_RING
17.266412,26.738308,L6,L5,.100,.250,GND,SMP_RING
17.354931,27.128391,L6,L5,.100,.250,GND,SMP_RING
17.075287,35.015287,L6,L5,.100,.250,GND,SMP_RING
15.650449,34.931774,L6,L5,.100,.250,GND,SMP_RING
15.473830,34.572877,L6,L5,.100,.250,GND,SMP_RING
15.459692,34.173130,L6,L5,.100,.250,GND,SMP_RING
15.610517,33.802653,L6,L5,.100,.250,GND,SMP_RING
15.899844,33.526446,L6,L5,.100,.250,GND,SMP_RING
16.276914,33.392966,L6,L5,.100,.250,GND,SMP_RING
16.675580,33.425625,L6,L5,.100,.250,GND,SMP_RING
17.025897,33.618696,L6,L5,.100,.250,GND,SMP_RING
17.266412,33.938309,L6,L5,.100,.250,GND,SMP_RING
17.354931,34.328392,L6,L5,.100,.250,GND,SMP_RING
17.075287,49.515286,L6,L5,.100,.250,GND,SMP_RING
16.739484,49.732623,L6,L5,.100,.250,GND,SMP_RING
16.344120,49.793362,L6,L5,.100,.250,GND,SMP_RING
15.958563,49.686850,L6,L5,.100,.250,GND,SMP_RING
15.650449,49.431773,L6,L5,.100,.250,GND,SMP_RING
15.610517,48.302652,L6,L5,.100,.250,GND,SMP_RING
15.899844,48.026444,L6,L5,.100,.250,GND,SMP_RING
16.276914,47.892965,L6,L5,.100,.250,GND,SMP_RING
16.675580,47.925624,L6,L5,.100,.250,GND,SMP_RING
17.025897,48.118695,L6,L5,.100,.250,GND,SMP_RING
17.266412,48.438308,L6,L5,.100,.250,GND,SMP_RING
17.354931,48.828391,L6,L5,.100,.250,GND,SMP_RING
3.775286,49.515286,L6,L5,.100,.250,GND,SMP_RING
3.439483,49.732623,L6,L5,.100,.250,GND,SMP_RING
3.044119,49.793362,L6,L5,.100,.250,GND,SMP_RING
2.658562,49.686850,L6,L5,.100,.250,GND,SMP_RING
